Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Exc50,Exc90,Pav10,Pav50,Pav90,Avg
2022-01-16,8.011,12.032,7.000,6.952,6.952,6.952,6.952,7.000,6.952,6.952,6.952,6.952,6.952,6.952,6.952,7.000,8.015,7.918,25.785,8.002,7.120,8.000,6.952,6.952,7.000,6.952,6.952,7.000,7.000,9.001,7.078,6.952,6.952,7.292,6.952,7.000,7.000,7.000,12.037,8.012,7.163,6.952,8.012,7.000,6.952,112.167,98.000,97.326,7.143
2022-02-16,11.006,17.876,8.005,8.016,7.001,7.001,7.001,13.874,7.001,7.001,7.001,7.001,8.017,7.001,7.001,7.000,11.040,11.909,19.367,11.036,8.001,11.006,7.001,8.000,11.040,7.001,7.001,8.000,8.000,11.039,10.932,7.000,8.014,11.019,8.004,11.492,17.933,11.018,23.416,12.740,10.638,8.013,12.740,8.013,7.001,178.959,112.559,98.340,7.119
2022-03-16,13.488,15.767,10.005,14.277,10.000,8.841,6.803,23.843,10.003,10.494,15.342,8.004,11.011,10.002,10.004,10.000,19.428,19.116,19.914,11.161,10.538,11.019,8.002,10.004,11.684,11.018,10.297,11.004,15.380,10.163,13.138,9.052,10.781,15.042,10.854,19.407,23.029,24.224,24.047,15.613,19.050,15.455,19.428,11.018,9.052,211.942,120.199,98.754,9.167
2022-04-16,8.003,3.000,6.001,7.087,2.007,7.570,8.003,19.624,12.638,16.004,15.004,16.004,8.001,16.008,20.987,14.000,15.008,15.001,20.572,16.010,6.974,17.432,14.790,10.916,7.144,23.910,12.648,14.004,16.001,18.147,12.739,7.969,14.013,14.004,12.457,12.568,11.302,16.009,27.357,20.242,23.454,7.245,20.242,14.004,7.087,253.775,175.568,88.855,7.976
2022-05-16,19.016,24.651,36.755,36.855,14.001,16.423,36.097,48.329,36.834,7.307,14.000,17.971,8.979,24.000,46.935,10.125,27.797,49.356,24.670,36.225,22.138,36.348,48.485,9.005,4.003,18.962,36.269,55.330,12.000,36.938,36.095,18.318,21.001,22.380,7.203,14.001,4.006,16.363,56.451,36.423,48.629,19.012,48.329,22.380,8.979,303.866,140.711,56.457,15.905
2022-06-16,47.845,42.938,24.836,74.062,78.025,19.544,14.395,59.313,14.295,11.135,21.056,15.026,21.056,4.885,24.819,21.044,51.479,44.011,17.001,42.699,54.701,38.487,21.048,16.571,28.129,9.641,56.610,42.805,16.177,21.089,24.697,51.789,25.630,13.349,4.152,16.041,11.991,21.012,77.389,21.074,44.011,13.612,54.701,21.074,11.991,235.392,90.686,51.599,23.238
2022-07-16,30.148,56.177,6.355,39.849,48.802,4.573,4.010,22.679,5.001,4.029,9.944,7.752,32.707,3.000,28.047,6.442,59.768,32.652,6.169,52.883,32.432,11.518,5.001,4.013,6.000,3.754,32.655,20.185,4.002,24.606,7.295,38.608,39.260,4.015,2.000,4.367,6.007,6.949,43.051,6.007,39.539,4.013,39.849,7.295,4.010,261.100,47.797,26.273,15.262
